"Movie","Year","Duration","Genres","Rating","Num_of_Votes","Five_Year","Final_Genre","Types_of_Duration"
"Rock Haven",2007,78,"Drama,Romance",5.5,1538,"2005","Romance","Very Short"
"The Square",2008,105,"Crime,Drama,Thriller",6.7,5417,"2005","Thriller","Just Nice"
"Weather Girl",2009,92,"Comedy",5.8,3028,"2005","Comedy","Short"
"Travis Scott: Look Mom I Can Fly",2019,84,"Documentary,Music",6.3,3319,"2015","Music","Very Short"
"The Hole",2009,92,"Fantasy,Thriller",5.7,22252,"2005","Fantasy","Short"
"Chaos, This Is",2007,124,"Crime,Drama,Romance",7.1,1720,"2005","Drama","Extremely Long"
"El rey de la montaña",2007,90,"Thriller",6.2,3176,"2005","Thriller","Very Short"
"Uncertainty",2008,101,"Drama,Romance,Thriller",5.8,6352,"2005","Drama","Just Nice"
"Blended",2014,117,"Comedy,Romance",6.5,116817,"2010","Romance","Long"
"Impact Point",2008,84,"Thriller",4.2,1261,"2005","Thriller","Very Short"
"Safe",2019,144,"Action,Crime,Thriller",7.4,1042,"2015","Crime","Extremely Long"
"The Subtenant",2008,104,"Comedy",4.3,1312,"2005","Comedy","Just Nice"
"Megan Is Missing",2011,89,"Drama,Horror,Thriller",4.7,8294,"2010","Horror","Very Short"
"Once Fallen",2010,93,"Crime",4.8,1230,"2010","Crime","Short"
"Trucker",2008,90,"Drama",6.6,3114,"2005","Drama","Very Short"
"Still Walking",2008,115,"Drama",7.9,13367,"2005","Drama","Long"
"Kod apokalipsisa",2007,106,"Action,Adventure",4.4,1228,"2005","Action","Long"
"Eden Log",2007,98,"Horror,Mystery,Sci-Fi",5.3,6387,"2005","Sci-Fi","Just Nice"
"Gutterballs",2008,96,"Comedy,Horror,Sport",4.6,3089,"2005","Sport","Short"
"Terribly Happy",2008,99,"Crime,Drama,Thriller",6.8,5133,"2005","Thriller","Just Nice"
"Bikram: Yogi, Guru, Predator",2019,86,"Crime,Documentary",6.7,5117,"2015","Crime","Very Short"
"A Sun",2019,156,"Crime,Drama",7.6,2771,"2015","Crime","Extremely Long"
"City Rats",2009,94,"Action,Comedy,Drama",4.9,1212,"2005","Drama","Short"
"No Man's Land: The Rise of Reeker",2008,88,"Horror,Thriller",4.8,3136,"2005","Horror","Very Short"
"Salt of This Sea",2008,109,"Drama,Romance",6.9,1042,"2005","Drama","Long"
"Dadnapped",2009,84,"Action,Adventure,Comedy",4.9,2731,"2005","Comedy","Very Short"
"Lone Survivor",2013,121,"Action,Biography,Drama",7.5,262854,"2010","Biography","Extremely Long"
"Teenage Dirtbag",2009,106,"Drama",7,2869,"2005","Drama","Long"
"Chandni Chowk to China",2009,154,"Action,Comedy",4,7737,"2005","Comedy","Extremely Long"
"Tell Me Who I Am",2019,86,"Documentary,Drama,Mystery",7.6,9979,"2015","Mystery","Very Short"
"Expelled: No Intelligence Allowed",2008,97,"Documentary",3.7,11799,"2005","Documentary","Short"
"Adventureland",2009,107,"Comedy,Drama,Romance",6.8,151198,"2005","Drama","Long"
"The Longshots",2008,94,"Biography,Comedy,Drama",5.4,3837,"2005","Drama","Short"
"A French Gigolo",2008,104,"Drama,Romance",6,1025,"2005","Romance","Just Nice"
"Kiss of Life",2007,103,"Comedy,Romance",5.2,1018,"2005","Comedy","Just Nice"
"Golmaal Returns",2008,135,"Comedy,Crime",5.1,6870,"2005","Crime","Extremely Long"
"Heavy Metal in Baghdad",2007,84,"Documentary,Music,War",7.7,1077,"2005","Music","Very Short"
"Kutsal Damacana",2007,105,"Comedy,Fantasy,Horror",5,8124,"2005","Comedy","Just Nice"
"My Name Ain't Johnny",2008,124,"Biography,Crime,Drama",7.2,6519,"2005","Drama","Extremely Long"
"Nothing to Lose",2008,88,"Crime,Thriller",7.1,3218,"2005","Thriller","Very Short"
"The Investigator",2008,107,"Comedy,Crime,Drama",7.5,2470,"2005","Crime","Long"
"Paul",2011,104,"Adventure,Comedy,Sci-Fi",7,232649,"2010","Adventure","Just Nice"
"The Enemies of Reason",2007,90,"Documentary",8.3,1743,"2005","Documentary","Very Short"
"Passchendaele",2008,114,"Drama,History,Romance",6.4,7898,"2005","History","Long"
"Christmas at the Plaza",2019,84,"Drama,Romance",6.8,1023,"2015","Drama","Very Short"
"The Goods: Live Hard, Sell Hard",2009,89,"Comedy",5.8,20627,"2005","Comedy","Very Short"
"Shanghai",2010,105,"Crime,Drama,Mystery",6.4,9138,"2010","Mystery","Just Nice"
"Comme les autres",2008,93,"Comedy,Drama,Romance",6.5,1258,"2005","Comedy","Short"
"The Darkest Hour",2011,89,"Action,Adventure,Horror",4.9,57393,"2010","Horror","Very Short"
"Hush",2008,91,"Horror,Thriller",6,6507,"2005","Thriller","Short"
"Jab We Met",2007,138,"Comedy,Drama,Romance",7.9,46795,"2005","Romance","Extremely Long"
"Non pensarci",2007,105,"Comedy,Drama",6.8,1114,"2005","Drama","Just Nice"
"Encounters at the End of the World",2007,99,"Documentary",7.7,16973,"2005","Documentary","Just Nice"
"My Winnipeg",2007,80,"Comedy,Documentary,Drama",7.6,4860,"2005","Drama","Very Short"
"Confessions of a Shopaholic",2009,104,"Comedy,Romance",5.9,73821,"2005","Comedy","Just Nice"
"Bride Flight",2008,130,"Drama",7,2476,"2005","Drama","Extremely Long"
"Under the Bombs",2007,98,"Drama,Romance,War",7,1403,"2005","War","Just Nice"
"Tricks",2007,95,"Comedy,Drama",7,1981,"2005","Comedy","Short"
"The Disappeared",2008,96,"Drama,Horror,Thriller",5.9,1768,"2005","Drama","Short"
"Sigur Rós: Heima",2007,97,"Documentary,Music",8.5,7825,"2005","Music","Short"
"Buddha Collapsed Out of Shame",2007,81,"Drama,War",7.3,2022,"2005","Drama","Very Short"
"Coco Chanel",2008,139,"Biography,Drama",6.9,3444,"2005","Drama","Extremely Long"
"The Hammer",2010,108,"Biography,Drama,Sport",7,1682,"2010","Drama","Long"
"Jusqu'à toi",2009,80,"Comedy,Romance",6.1,1346,"2005","Romance","Very Short"
"Como Caído Del Cielo",2019,112,"Comedy,Drama,Musical",6.4,1094,"2015","Comedy","Long"
"New in Town",2009,97,"Comedy,Romance",5.6,21431,"2005","Comedy","Short"
"Bad Lieutenant: Port of Call New Orleans",2009,122,"Crime,Drama",6.6,73575,"2005","Drama","Extremely Long"
"Goodbye Solo",2008,91,"Drama",7.3,5529,"2005","Drama","Short"
"Street Flow",2019,96,"Crime",6.4,1121,"2015","Crime","Short"
"Agatha and the Curse of Ishtar",2019,95,"Crime,Mystery,Romance",6.1,1106,"2015","Romance","Short"
